"filename", "language", "JavaScript", "CSS", "XML", "YAML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\navigation-links.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\options-list.css", "CSS", 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\options-list.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\settings-menu-button.css", "CSS", 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\settings-menu-button.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\v-line.css", "CSS", 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\v-line.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\video-chat-buttons.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\video-chat-buttons.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 7, 37
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\settings.css", "CSS", 0, 85, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\settings.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 15, 91
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\settings\personal-information.css", "CSS", 0, 263, 0, 0, 0, 0, 0, 0, 1, 264
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\settings\personal-information.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 16, 150
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\socials-app.css", "CSS", 0, 57, 0, 0, 0, 0, 0, 0, 1, 58
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\socials-app.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Fabian\Documents\GTG\Website\src\Website\App.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Fabian\Documents\GTG\Website\src\Website\App.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Fabian\Documents\GTG\Website\src\Website\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Fabian\Documents\GTG\Website\src\Website\Events.css", "CSS", 0, 157, 0, 0, 0, 0, 0, 8, 29, 194
"c:\Users\Fabian\Documents\GTG\Website\src\Website\Events.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 18, 93
"c:\Users\Fabian\Documents\GTG\Website\src\Website\Home.css", "CSS", 0, 146, 0, 0, 0, 0, 0, 9, 33, 188
"c:\Users\Fabian\Documents\GTG\Website\src\Website\Home.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 0, 28, 143
"c:\Users\Fabian\Documents\GTG\Website\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Fabian\Documents\GTG\Website\src\index.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\Fabian\Documents\GTG\Website\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\src\qrcode.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Fabian\Documents\GTG\Website\src\style.css", "CSS", 0, 108, 0, 0, 0, 0, 0, 0, 4, 112
"Total", "-", 2082, 2422, 167, 60, 29, 82, 181, 199, 695, 5917
